customer_id,rating,feedback,product_category,purchase_date,support_tickets,resolution_time
CUST001,4.5,Great product quality,Electronics,2024-01-15,0,0
CUST002,3.8,Good but expensive,Furniture,2024-01-16,1,2.5
CUST003,5.0,Excellent service,Books,2024-01-17,0,0
CUST004,2.5,Product arrived damaged,Electronics,2024-01-18,2,5.0
CUST005,4.2,Fast delivery,Furniture,2024-01-19,0,0
CUST006,4.8,High quality materials,Electronics,2024-01-20,1,1.5
CUST007,3.5,Average experience,Books,2024-01-21,1,3.0
CUST008,4.9,Exceeded expectations,Furniture,2024-01-22,0,0
CUST009,4.1,Good value for money,Electronics,2024-01-23,0,0
CUST010,3.9,Decent product,Books,2024-01-24,1,4.0 
